dt=0.00625sec, 4878samples
Time(Sec)             X_ref_pos(i)          X_enc_pos(i)          X_pos_err(i)          X_vel_ff(f)           X_vel_fbf(f)          X_ref_acc(f)          X_command(f)          X_curr_abs(f)         
0.000000              120000                120001                -1                    0                     -841.466              0                     5.44362               0.0327418             
0.006250              120000                120001                -1                    0                     -380.157              0                     5.38166               0.04831               
0.012500              120000                120001                -1                    0                     -1380.49              0                     5.52079               0.041377              
0.018750              120000                120002                -2                    0                     -11.3194              0                     5.31762               0.0511831             
0.025000              120000                120001                -1                    0                     599.367               0                     5.24705               0.0650391             
0.031250              120000                120001                -1                    0                     -65.9449              0                     5.3418                0.0929801             
0.037500              120000                120001                -1                    0                     -32.0204              0                     5.33183               0.0185892             
0.043750              120000                120002                -2                    0                     164.021               0                     5.29217               0.0465822             
0.050000              120000                120001                -1                    0                     -543.067              0                     5.40429               0.0243876             
0.056250              120000                120001                -1                    0                     -148.677              0                     5.34231               0.0399507             
0.062500              120000                120001                -1                    0                     182.479               0                     5.30304               0.041377              
0.068750              120000                120001                -1                    0                     -349.136              0                     5.36874               0.0583037             
0.075000              120000                120001                -1                    0                     979.853               0                     5.1948                0.0557902             
0.081250              120000                120001                -1                    0                     -397.174              0                     5.37085               0.0850265             
0.087500              120000                120002                -2                    0                     537.995               0                     5.22406               0.0616817             
0.093750              120000                120001                -1                    0                     -9.08245              0                     5.31543               0.0498719             
0.100000              120000                120002                -2                    0                     -118.681              0                     5.3169                0.0877907             
0.106250              120000                120002                -2                    0                     -80.6659              0                     5.30264               0.0151954             
0.112500              120000                120001                -1                    0                     -259.548              0                     5.34325               0.0751164             
0.118750              120000                120001                -1                    0                     -149.426              0                     5.32402               0.0479564             
0.125000              120000                120001                -1                    0                     75.2535               0                     5.29993               0.0561909             
0.131250              120000                120002                -2                    0                     330.758               0                     5.24914               0.0389205             
0.137500              120000                120001                -1                    0                     -36.1596              0                     5.31042               0.0850265             
0.143750              120000                120001                -1                    0                     190.403               0                     5.28972               0.0860157             
0.150000              120000                120002                -2                    0                     -116.358              0                     5.30316               0.0128949             
0.156250              120000                120001                -1                    0                     -105.946              0                     5.31499               0.0678917             
0.162500              120000                120002                -2                    0                     -88.8214              0                     5.30156               0.0379675             
0.168750              120000                120002                -2                    0                     608.487               0                     5.20133               0.0745279             
0.175000              120000                120001                -1                    0                     -183.542              0                     5.3208                0.0345169             
0.181250              120000                120001                -1                    0                     -1306.53              0                     5.47403               0.0629312             
0.187500              120000                120002                -2                    0                     1243.2                0                     5.11736               0.0616768             
0.193750              120000                120001                -1                    0                     -575.926              0                     5.3684                0.0563992             
0.200000              120000                120001                -1                    0                     -226.117              0                     5.32031               0.0192866             
0.206250              120000                120001                -1                    0                     -65.5811              0                     5.2996                0.0450724             
0.212500              120000                120002                -2                    0                     5.75918               0                     5.27865               0.051022              
0.218750              120000                120001                -1                    0                     -560.418              0                     5.36275               0.0561909             
0.225000              120000                120001                -1                    0                     -0.268158             0                     5.286                 0.056732              
0.231250              120000                120002                -2                    0                     -262.342              0                     5.30624               0.0550661             
0.237500              120000                120002                -2                    0                     1143.14               0                     5.12087               0.0393212             
0.243750              120000                120002                -2                    0                     2005.87               0                     5.00677               0.0251164             
0.250000              120000                120002                -2                    0                     1581.64               0                     5.05689               0.0616768             
0.256250              120000                120001                -1                    0                     328.677               0                     5.23605               0.0872701             
0.262500              120000                120002                -2                    0                     496.704               0                     5.20777               0.00955323            
0.268750              120000                120002                -2                    0                     897.786               0                     5.15012               0.0202758             
0.275000              120000                120001                -1                    0                     -475.497              0                     5.33785               0.0576014             
0.281250              120000                120001                -1                    0                     -409.977              0                     5.32492               0.0327418             
0.287500              119997                120001                -4                    -1625.73              -103.429              -720000               5.03078               0.0339962             
0.293750              119965                119999                -34                   -9455.73              -875.257              -1.8e+006             3.68085               0.0371817             
0.300000              119860                119989                -129                  -25250.7              -2165.42              -2.97e+006            0.51441               0.00648763            
0.306250              119638                119960                -322                  -46580.7              -8384.74              -4.04999e+006         -3.98241              0.0113442             
0.312500              119254                119878                -624                  -77000.7              -20086.5              -5.22e+006            -10.3198              0.0891503             
0.318750              118665                120553                -1888                 -111831               -112389               -6.29998e+006         -16.8757              0.305599              
0.325000              117826                119719                -1893                 -156876               -171516               -7.47e+006            -16.8041              0.353444              
0.331250              116695                118583                -1888                 -205206               -219688               -8.55e+006            -18.8023              0.508879              
0.337500              115226                117065                -1839                 -264876               -287739               -9.71994e+006         -18.8033              0.383425              
0.343750              113377                115187                -1810                 -326706               -324417               -1.08001e+007         -23.9351              0.741515              
0.350000              111103                112834                -1731                 -401001               -390943               -1.19699e+007         -25.8769              0.756506              
0.356250              108359                109986                -1627                 -476331               -520368               -1.305e+007           -19.4095              0.708572              
0.362500              105103                106675                -1572                 -565251               -551929               -1.422e+007           -28.0684              1.09612               
0.368750              101293                102774                -1481                 -651904               -687416               -1.41374e+007         -22.4172              0.930793              
0.375000              96935                 98334                 -1399                 -739688               -716618               -1.29634e+007         -30.3381              0.5914                
0.381250              92072                 93307                 -1235                 -813946               -818746               -1.18793e+007         -26.4032              1.03399               
0.387500              86750                 87799                 -1049                 -885425               -911551               -9.98488e+006         -22.4721              0.550135              
0.393750              81041                 80832                 209                   -938299               -952007               -7.81988e+006         -10.5945              0.284383              
0.400000              75033                 75090                 -57                   -980918               -963902               -5.47388e+006         -19.7417              0.694914              
0.406250              68813                 68993                 -180                  -1.00672e+006         -1.02831e+006         -3.30813e+006         -15.7186              0.800833              
0.412500              62471                 62599                 -128                  -1.02001e+006         -1.04529e+006         -960125               -14.0586              0.334071              
0.418750              56093                 55995                 98                    -1.01872e+006         -1.0533e+006          1.20838e+006          -10.4366              0.300571              
0.425000              49770                 49366                 404                   -1.00263e+006         -1.05745e+006         3.56038e+006          -3.85795              0.0658522             
0.431250              43587                 42826                 761                   -974206               -1.0175e+006          5.73513e+006          -1.27341              0.0177564             
0.437500              37635                 36540                 1095                  -928657               -1.01249e+006         8.1e+006              8.37497               0.0299888             
0.443750              32002                 30645                 1357                  -872893               -938805               1.03163e+007          9.73749               0.0100739             
0.450000              26777                 26449                 328                   -799011               913469                1.197e+007            -228.761              0.21939               
0.456250              22020                 19969                 2051                  -723681               -554914               1.305e+007            1.84592               17.6872               
0.462500              17777                 16577                 1200                  -634761               -678105               1.422e+007            9.12503               0.134391              
0.468750              14086                 12551                 1535                  -548107               -626546               1.41374e+007          18.6101               0.308585              
0.475000              10945                 9324                  1621                  -460323               -475951               1.29633e+007          12.0714               0.0172516             
0.481250              8308                  6777                  1531                  -386066               -388828               1.18794e+007          10.761                0.112733              
0.487500              6132                  4855                  1277                  -312960               -261100               1.07048e+007          2.04652               0.00171975            
0.493750              4373                  3380                  993                   -252257               -216056               9.62003e+006          2.30209               1.25261e-005          
0.500000              2986                  2296                  690                   -193843               -154635               8.44403e+006          -0.347439             0.0258457             
0.506250              1928                  1486                  442                   -146708               -103227               7.358e+006            -2.76267              0.0250802             
0.512500              1155                  916                   239                   -103003               -84152.9              6.18002e+006          -0.969249             0.011292              
0.518750              621                   542                   79                    -69460.3              -44138.2              5.09152e+006          -3.3115               0.0258457             
0.525000              283                   349                   -66                   -40501.3              -21363.6              3.90968e+006          -3.91331              0.0252887             
0.531250              97                    270                   -173                  -20600                -6185.14              2.81489e+006          -4.4193               0.0335751             
0.537500              17                    267                   -250                  -6478.68              819.322               1.62e+006             -4.41174              0.0413048             
0.543750              0                     268                   -268                  -412.806              -1205.19              483735                -3.65226              0.0194743             
0.550000              0                     268                   -268                  0                     -166.692              0                     -3.98295              0.0281144             
0.556250              0                     268                   -268                  0                     -2330.38              0                     -3.96117              0.00354666            
0.562500              0                     267                   -267                  0                     -646.429              0                     -4.4333               0.0536304             
0.568750              0                     265                   -265                  0                     -196.167              0                     -4.72654              0.00714883            
0.575000              0                     265                   -265                  0                     527.099               0                     -5.10598              0.00662803            
0.581250              0                     262                   -262                  0                     1485.26               0                     -5.44695              0.0535262             
0.587500              0                     262                   -262                  0                     47.5977               0                     -5.51297              0.0111881             
0.593750              0                     260                   -260                  0                     779.737               0                     -5.85591              0.0628226             
0.600000              0                     257                   -257                  0                     -908.825              0                     -5.8485               0.0144257             
0.606250              0                     255                   -255                  0                     531.132               0                     -6.27021              0.043777              
0.612500              0                     250                   -250                  0                     -477.444              0                     -6.34421              0.00631568            
0.618750              0                     243                   -243                  0                     -3070.4               0                     -6.15933              0.0781778             
0.625000              0                     236                   -236                  0                     -2488.61              0                     -6.39419              0.0745913             
0.631250              0                     224                   -224                  0                     -1211.81              0                     -6.66351              0.0760538             
0.637500              0                     219                   -219                  0                     -2308.48              0                     -6.69756              0.0134882             
0.643750              0                     207                   -207                  0                     -2149.72              0                     -6.80514              0.0250802             
0.650000              0                     198                   -198                  0                     -4043.92              0                     -6.65214              0.0720669             
0.656250              0                     192                   -192                  0                     -1252.78              0                     -7.17047              0.246354              
0.662500              0                     185                   -185                  0                     -548.044              0                     -7.36417              0.0720669             
0.668750              0                     178                   -178                  0                     -2106.12              0                     -7.26828              0.160855              
0.675000              0                     170                   -170                  0                     -1190.68              0                     -7.46616              0.0933242             
0.681250              0                     162                   -162                  0                     1479.5                0                     -7.89937              0.0206926             
0.687500              0                     155                   -155                  0                     -1262.28              0                     -7.63985              0.0580181             
0.693750              0                     149                   -149                  0                     -1268.22              0                     -7.72066              0.133331              
0.700000              0                     137                   -137                  0                     -1735.02              0                     -7.65494              0.0873698             
0.706250              0                     128                   -128                  0                     -539.162              0                     -7.88159              0.00396329            
0.712500              0                     115                   -115                  0                     -2390.84              0                     -7.6143               0.131764              
0.718750              0                     100                   -100                  0                     -2196.7               0                     -7.56261              0.0720669             
0.725000              0                     90                    -90                   0                     1057.15               0                     -8.00749              0.111917              
0.731250              0                     77                    -77                   0                     -1518.74              0                     -7.60713              0.0299367             
0.737500              0                     69                    -69                   0                     -2303.42              0                     -7.50183              0.0781778             
0.743750              0                     63                    -63                   0                     1587.38               0                     -8.03158              0.066914              
0.750000              0                     57                    -57                   0                     -3465.78              0                     -7.34929              0.218882              
0.756250              0                     50                    -50                   0                     -4013.21              0                     -7.26323              0.191409              
0.762500              0                     46                    -46                   0                     501.364               0                     -7.87468              0.0888323             
0.768750              0                     40                    -40                   0                     -2105.02              0                     -7.49874              0.0413048             
0.775000              0                     36                    -36                   0                     -288.743              0                     -7.7487               0.12722               
0.781250              0                     32                    -32                   0                     -1196.39              0                     -7.61449              0.124139              
