Time(Sec)	X_ref_pos(i)	X_enc_pos(i)	X_pos_err(i)	X_vel_ff(f)	X_vel_fbf(f)	X_ref_acc(f)	X_command(f)	X_curr_abs(f)
0	120000	120001	-1	0	-841.466	0	5.44362	0.0327418
0.00625	120000	120001	-1	0	-380.157	0	5.38166	0.04831
0.0125	120000	120001	-1	0	-1380.49	0	5.52079	0.041377
0.01875	120000	120002	-2	0	-11.3194	0	5.31762	0.0511831
0.025	120000	120001	-1	0	599.367	0	5.24705	0.0650391
0.03125	120000	120001	-1	0	-65.9449	0	5.3418	0.0929801
0.0375	120000	120001	-1	0	-32.0204	0	5.33183	0.0185892
0.04375	120000	120002	-2	0	164.021	0	5.29217	0.0465822
0.05	120000	120001	-1	0	-543.067	0	5.40429	0.0243876
0.05625	120000	120001	-1	0	-148.677	0	5.34231	0.0399507
0.0625	120000	120001	-1	0	182.479	0	5.30304	0.041377
0.06875	120000	120001	-1	0	-349.136	0	5.36874	0.0583037
0.075	120000	120001	-1	0	979.853	0	5.1948	0.0557902
0.08125	120000	120001	-1	0	-397.174	0	5.37085	0.0850265
0.0875	120000	120002	-2	0	537.995	0	5.22406	0.0616817
0.09375	120000	120001	-1	0	-9.08245	0	5.31543	0.0498719
0.1	120000	120002	-2	0	-118.681	0	5.3169	0.0877907
0.10625	120000	120002	-2	0	-80.6659	0	5.30264	0.0151954
0.1125	120000	120001	-1	0	-259.548	0	5.34325	0.0751164
0.11875	120000	120001	-1	0	-149.426	0	5.32402	0.0479564
0.125	120000	120001	-1	0	75.2535	0	5.29993	0.0561909
0.13125	120000	120002	-2	0	330.758	0	5.24914	0.0389205
0.1375	120000	120001	-1	0	-36.1596	0	5.31042	0.0850265
0.14375	120000	120001	-1	0	190.403	0	5.28972	0.0860157
0.15	120000	120002	-2	0	-116.358	0	5.30316	0.0128949
0.15625	120000	120001	-1	0	-105.946	0	5.31499	0.0678917
0.1625	120000	120002	-2	0	-88.8214	0	5.30156	0.0379675
0.16875	120000	120002	-2	0	608.487	0	5.20133	0.0745279
0.175	120000	120001	-1	0	-183.542	0	5.3208	0.0345169
0.18125	120000	120001	-1	0	-1306.53	0	5.47403	0.0629312
0.1875	120000	120002	-2	0	1243.2	0	5.11736	0.0616768
0.19375	120000	120001	-1	0	-575.926	0	5.3684	0.0563992
0.2	120000	120001	-1	0	-226.117	0	5.32031	0.0192866
0.20625	120000	120001	-1	0	-65.5811	0	5.2996	0.0450724
0.2125	120000	120002	-2	0	5.75918	0	5.27865	0.051022
0.21875	120000	120001	-1	0	-560.418	0	5.36275	0.0561909
0.225	120000	120001	-1	0	-0.268158	0	5.286	0.056732
0.23125	120000	120002	-2	0	-262.342	0	5.30624	0.0550661
0.2375	120000	120002	-2	0	1143.14	0	5.12087	0.0393212
0.24375	120000	120002	-2	0	2005.87	0	5.00677	0.0251164
0.25	120000	120002	-2	0	1581.64	0	5.05689	0.0616768
0.25625	120000	120001	-1	0	328.677	0	5.23605	0.0872701
0.2625	120000	120002	-2	0	496.704	0	5.20777	0.00955323
0.26875	120000	120002	-2	0	897.786	0	5.15012	0.0202758
0.275	120000	120001	-1	0	-475.497	0	5.33785	0.0576014
0.28125	120000	120001	-1	0	-409.977	0	5.32492	0.0327418
0.2875	119997	120001	-4	-1625.73	-103.429	-720000	5.03078	0.0339962
0.29375	119965	119999	-34	-9455.73	-875.257	-1.80E+06	3.68085	0.0371817
